Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
swiss chard cooked,100g,Carbohydrates,35,2.692,0.082,5.874,3.7,1.9,40,1,1,101.5,0,0.3,4,150.5,0.6,0,151.3,57.8,0,960.8,0,0.083,0.7,0,0.01,0.076,0,0.2,0.6,0.3,0.1,31.5,0,3.3,0.6,0.162,0.6
swiss chard raw,100g,Carbohydrates,7,0.526,0.037,1.141,0.6,0.4,40,1,1,18.4,0,0.073,0.6,29.2,0.1,0.092,32.314,16.6,0.013,136.4,0.065,0.047,0.089,0,0.02,0.007,0,0.052,0.1,0.057,0.045,10.8,0,0.7,0.3,33.4,0.1
swiss cheese,100g,Fat,358,14.787,28.017,11.674,4,0,23,1,1,280,23.3,0.026,0.024,237,0.062,2,237.396,143.5,0.3,272,4.6,0.031,347,0.069,0.008,0.027,0.008,0.018,0.058,0.1,0.036,0,0.016,0.2,0.056,9.4,1.1
swordfish cooked,100g,Protein,182,36.401,4.044,0,0,0,0,1,1,0.022,82.7,6.4,0.045,0.5,37.1,3.8,34.203,0.041,1.5,322.2,2,528.9,0.1,0.075,0.078,0.094,0.048,0.005,0.01,9.8,0.4,0.7,0,0.038,2.6,0.072,0.028
swordfish raw,100g,Protein,196,39.199,4.356,0,0,0,0,1,1,6.8,89.8,0.051,0.5,39.4,0.059,4,43.072,346.8,1.6,568.5,2.2,0.021,0.1,0.04,0.1,0.036,0.02,0.071,10.6,0.5,0.7,0,0.082,2.7,0.023,0.1,0.9
syrah red wine,100g,Carbohydrates,122,0.782,0,29.718,0,0,40,1,1,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0
t bone steak cooked,100g,Protein,900,90,10,0,0,0,0,1,1,0,301.3,69,0.2,11.8,65.3,33.3,170.6,0.001,3.3,729.6,30.3,900.2,0.2,4.6,0,0.2,0.042,0.046,0.8,19.9,1.1,2.4,0,0.095,0,0,0.041
t bone steak raw,100g,Protein,900,90,10,0,0,0,0,1,1,27.2,281.2,0.4,9.5,90.7,0.034,33.9,198.7,784.7,2.8,1397.1,30.4,0.044,0.2,0,0.5,0.007,0.038,0.8,16.4,1.4,1.7,0,0,0,0,0,14.7
tabasco sauce,100g,Protein,1,0.203,0.009,0.027,0.013,0.067,0,1,1,0.6,0,0.017,0.019,0.6,0.038,0.086,1.054,1.1,0.089,6,0.051,0.063,0.075,0,0.056,0.059,0,0.066,0.091,0.081,0,0.2,0,0.014,0.031,4.5,0.089
tabbouleh,100g,Carbohydrates,180,0,0,45,3,1.34,25,1,1,80,0,0.062,0.74,20,7.348,6.905,15.18,39,1.07,250,1.342,0.3,280,33,0.042,0.079,0,0.027,0.698,0.507,0.069,15.8,3.945,1.56,100.8,0.077,0.3
table water,100g,Protein,0,0,0,0,0,0,0,1,1,70,0,0,0,0,0,0,70,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0
table wine,100g,Carbohydrates,123,0.75,0,30,0,1.2,40,1,1,11.8,0,0.049,0.5,16.3,0.2,0,16.4,29.6,0,146.5,0,0.012,0.087,0,0.051,0.084,0,0.014,0.2,0.023,0.022,0,0,0,0,0.128,0.2
taco flavor tortilla chips,100g,Fat,900,24.54,75.264,0.196,12,0,35,1,1,351.9,11.4,0.4,4.6,199.8,1,32.4,586.5,542.5,7.6,492.6,10.5,0.075,1.8,0,0.5,0.022,0,0.5,4.5,0.7,0.7,2,0,0,0,0,2.9
taco salad,100g,Carbohydrates,212,9.981,11.179,17.866,0,0,40,1,1,145.5,33,0.2,1.7,39,0.3,3.9,189,108,1.3,315,5.2,0.001,0.6,0,0.091,0.072,0.097,0.3,1.9,1,0.2,2.7,0,0,0,0.108,2
taco salad taco bell,100g,Fat,900,0,100,0,16,0,35,1,1,506.4,101.3,0.8,9.4,143.9,1.4,21.2,696.9,549,4,1220.6,15.9,0.095,1.9,0,0.8,0.2,0.09,0.6,8,1.1,0.5,0,0,2.9,0.072,0,6.2
taco salad with chili con carne,100g,Carbohydrates,193,11.399,8.648,17.394,0,0,40,1,1,163.6,3.5,0.2,1.8,34.8,0.2,3,205.9,102.7,1,261,4,0,0.6,0.1,0.1,0.067,0.063,0.3,1.7,1,0.3,2.3,0,0,0,0.134,2.2
taco with beef cheese lettuce,100g,Carbohydrates,156,6.008,8.667,13.492,2.7,0.6,30,1,1,61.4,19.3,0.005,0.8,22.1,0.2,3,93.825,122.8,2.1,144.2,3,0.083,0.3,0.043,0.07,0.025,0.075,0.098,1.1,0,0.056,0.3,0.06,0.4,0.057,39.3,1.2
taco with chicken cheese lettuce,100g,Carbohydrates,185,13,6.2,19.3,1.2,1.3,30,1,1,119.6,28.4,0.012,1.6,23.5,0.2,1.6,161.153,239.1,1.6,212.7,2.5,0.093,0.6,0.014,0.2,0.029,0.094,0.1,5.1,0,0.1,0.2,0.017,0.2,0.075,57.3,0.7
taffy,100g,Carbohydrates,60,0.088,0.503,13.781,0,10.3,40,1,1,0.034,1.4,1.2,0,0.016,0,0.1,14.358,0,0.045,0.2,0.3,0.5,0.028,0.096,0.026,0.011,0,0,0.046,0.018,0.013,0,0,0,0.062,0.7,0.054
tahini,100g,Fat,86,2.546,6.789,3.678,1.4,0,40,1,1,63,0,0.2,0.4,14.4,0.2,2.7,78.6,112.8,3.2,62.1,1,0,0.098,0,0.2,0.034,0,0.086,0.9,0.1,0.036,0,0,0,0,0.5,0.7
"tahini (sesame paste, various middle eastern countries)",100g,Carbohydrates,190,0,0,47.5,15,6.993,24,1,1,47,4.178,10.219,1.479,57,7.348,1.557,29.86,81.581,1.174,548,1.031,56.024,176,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
tahitian taro cooked,100g,Carbohydrates,60,4.993,0.788,8.234,0,0,40,1,1,204.1,0,0.1,2.1,69.9,0.2,0.015,274.3,91.8,0.4,853.5,0.2,0.085,0.4,0,0.078,0.094,0,0.3,0.7,0.2,0.2,52.1,0,0,0,0.118,0.1
tahitian taro raw,100g,Carbohydrates,55,3.252,1.115,7.99,0,0,40,1,1,161.3,0,0.061,1.6,58.8,0.2,0.022,296.2,56.3,0.5,757.5,0.2,0.044,0.003,0,0.079,0.029,0,0.3,1.2,0.2,0.1,120,0,0,0,0.11,0.1
tallow,100g,Fat,337,5.664,25.487,21.239,5,3.963,5,1,1,141,39.069,2.67,1.455,20,2.115,7.485,9.18,147.754,4.689,704,6.559,18.204,386,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,47.609,1.417
tamale navajo,100g,Carbohydrates,285,11.733,11.432,33.795,5.8,1.8,35,1,1,53.9,31.6,0.1,2.3,40.9,0.3,5.1,122,184.1,1.3,243.7,4.5,0.053,0.8,0,0.057,0.069,0.032,0.1,3,0.4,0.3,3.2,0,0,0,0.127,2.8
tamarillo,100g,Carbohydrates,157,0,0,39.25,3,6.993,45,1,1,19,4.178,10.219,1.479,32,7.348,1.557,20.88,81.581,1.174,214,1.031,56.024,165,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
tamarind,100g,Carbohydrates,40,1.867,0.533,6.934,13,38.8,36,1,1,12,0,0.086,2.8,12,7.348,0.181,143.11,113,0.059,195,0.272,1.3,402,2,0.428,0.079,0,0.152,1.938,0.507,0.066,3.5,3.945,0.1,2.8,31.4,0.1
tamarind nectar,100g,Carbohydrates,143,0.189,0.283,34.924,1.3,31.9,65,0,1,25.1,0,0.054,1.9,10,0.079,0,83.6,5,0,67.8,0,0,0.046,0,0.077,0.055,0,0.024,0.2,0.025,0.048,17.8,0,0.3,0.069,0.213,0.089
tamarinds,100g,Carbohydrates,5,0.051,0.012,1.172,0.1,0.8,40,1,1,0.03,0,1.5,0.032,0.005,1.8,0.038,1.708,0,0.036,2.3,0.023,12.6,0.007,0,0,0.084,0.062,0,0.012,0.04,0.078,0.058,0.09,0,0.053,0.6,0.009
tandoori chicken,100g,Protein,220,30.275,10.092,2.018,1,0,0,1,1,20,87,0.075,1.41,25,4.058,8.221,29.82,153,4.582,340,5.772,22.3,480,104,0.06,0.081,0.27,0.193,6.662,1.874,0.268,0,0.474,0.27,4.9,53.08,2.23
tandoori roti,100g,Carbohydrates,106,3.149,1.05,20.99,2,2.93,0,1,1,13,0,0.229,2.2,20,7.348,2.091,12.87,158,0.761,83,3.311,26.6,221,0,0.36,0.079,0,0.18,4.61,0.507,0.28,0,3.945,0.55,3.3,35.43,1.54
tangelo,100g,Carbohydrates,52,1.13,2.261,6.783,14,6.993,48,1,1,125,4.178,10.219,1.479,73,7.348,1.557,101.06,81.581,1.174,157,1.031,56.024,416,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
tangerine,100g,Protein,94,7.833,4.476,5.595,13,8,40,1,1,122,0,0.001,0.1,22,0.057,0.097,60.8,15.2,0.05,590,0.07,0.008,65,0,0.068,0.05,0,0.024,0.3,0.2,0.096,20.3,0,0.2,0,64.7,0.078
tangerine juice,100g,Carbohydrates,106,1.168,0.487,24.237,0.5,24.5,65,1,1,0,0,44.5,0.06,0.5,19.8,0.015,27.29,0.031,0.054,34.6,0.082,439.7,0.022,0,0,0.1,0.086,0,0.094,0.2,0.3,0.1,76.6,0,0.3,0.22,0.016
tangerines,100g,Carbohydrates,91,0,0,22.75,14,6.993,29,1,1,141,4.178,10.219,1.479,80,7.348,1.557,79.6,81.581,1.174,501,1.031,56.024,58,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
tangerines canned,100g,Carbohydrates,92,1.352,0.09,21.446,1.7,22.1,65,1,1,27.4,0,0.085,0.7,27.4,0.044,0.086,140.389,24.9,0.04,331.2,0.087,0.058,0.022,0,0.2,0.053,0,0.038,1.1,0.3,0.1,85.2,0,0.2,0,0.223,1.3
tap water,100g,Protein,0,0,0,0,0,0,0,1,1,7.1,0,0.086,0,2.4,0,0,7.1,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.042
"tape/tapai (fermented cassava or rice, indonesia, malaysia)",100g,Carbohydrates,193,0,0,48.25,5,6.993,31,1,1,79,4.178,10.219,1.479,87,7.348,1.557,18.86,81.581,1.174,418,1.031,56.024,24,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
tapioca pearls,100g,Carbohydrates,544,0,0,100,1.4,5.1,30,1,1,30.4,0,0.021,2.4,1.5,0.2,0.088,169.318,10.6,0.057,16.7,0.075,0.007,0.077,0,0.016,0.001,0,0,0,0.2,0.091,0,0,0,0,0,0.2
tapioca pudding,100g,Carbohydrates,143,0,0,35.75,0,16.4,50,1,1,78.1,1.1,0.026,0.1,6.6,0.096,2.8,108.8,66,0.088,101.2,1.1,0,0.2,0,0.025,0.003,0.021,0.1,0.031,0.3,0.052,0.3,0,0.2,0.01,0.079,0.2
tapioca pudding fat free,100g,Carbohydrates,105,0,0,26.25,0,15.9,50,1,1,58.2,1.1,0.004,0.1,5.6,0.023,0.08,84.5,73.9,0.067,78.4,0.1,0,0.2,0,0.044,0.096,0.012,0.043,0.1,0.056,0.039,0.3,0,0.072,0,0.085,0.2
"tarhana (fermented grain and yogurt, turkey)",100g,Carbohydrates,138,14.375,0,20.125,4,28.98,26,1,1,128,0,0.142,6.14,40,7.348,1.989,23.82,134,4.544,525,1.442,5.6,163,604,1.153,0.079,0,2.067,19.267,0.507,1.833,7.8,3.945,0.93,15.3,16.7,5.24
taro (various pacific islands),100g,Carbohydrates,97,0,0,24.25,6,6.993,42,1,1,30,4.178,10.219,1.479,28,7.348,1.557,46.41,81.581,1.174,439,1.031,56.024,170,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
taro chips,100g,Carbohydrates,11,0.045,0.55,1.467,0.2,0.04,40,1,1,1.4,0,0.097,0.008,1.9,0.087,0.1,4.042,3,0.3,17.4,0.1,0.08,0.022,0,0.088,0.067,0,0.077,0.03,0.1,0.091,0.1,0,0.3,0.078,0.064,0.069
taro cooked,100g,Carbohydrates,187,0,0,46.75,6.7,0.6,35,1,1,0.073,0,23.8,0.3,1,39.6,0.064,53.993,0.6,0.056,100.3,0.012,638.9,0.055,0,0,0.1,0.042,0,0.002,0.7,0.4,0.4,6.6,0,3.9,0.084,0.005
taro leaves cooked,100g,Carbohydrates,35,3.145,0.484,4.516,2.9,0,40,1,1,124.7,0,0.2,1.7,29,0.5,0.065,190.9,39.2,0.2,667,0.1,0.035,0.3,0,0.2,0.074,0,0.6,1.8,0.077,0.1,51.5,0,0,0,0.134,0.3
taro leaves raw,100g,Carbohydrates,12,1.12,0.16,1.52,1,0.8,40,1,1,30,0,0.079,0.6,12.6,0.2,0.075,49.7,16.8,0.043,181.4,0.013,0.064,0.083,0,0.041,0.041,0,0.1,0.4,0.035,0.096,14.6,0,0.6,0.047,24,0.1
taro raw,100g,Carbohydrates,116,1.57,0.197,26.988,4.3,0.4,50,1,1,44.7,0,0.2,0.6,34.3,0.4,0.062,83.6,87.4,0.01,614.6,0.099,0.097,0.054,0,0.028,0.024,0,0.059,0.6,0.3,0.3,4.7,0,2.5,0.001,71.246,0.2
taro root,100g,Carbohydrates,61,0.587,0,14.663,2,0.42,36,1,1,162,2,0.179,0.57,66,7.348,1.019,22.98,88,0.92,423,0.818,0.7,128,15,0.089,0.079,0,0.025,0.594,0.507,0.283,4,3.945,2.8,3.6,66.36,0.24
taro shoots cooked,100g,Carbohydrates,20,0.873,0.087,3.93,0,0,40,1,1,19.6,0,0.1,0.6,11.2,0.2,0.003,52.3,36.4,0.037,481.6,0.068,0.083,0.3,0,0.024,0.014,0,0.035,1.1,0.1,0.2,26.5,0,0,0,0.133,0.8
taro shoots raw,100g,Carbohydrates,9,0.609,0.053,1.523,0,0,40,1,1,10.3,0,0.099,0.5,6.9,0.1,0.071,31.723,24.1,0.042,285.5,0.016,0.002,0.056,0,0.024,0.04,0,0.014,0.7,0.074,0.035,18.1,0,0,0,82.4,0.4
tarragon,100g,Fat,444,0,49.333,0,3,3.963,20,1,1,116,39.069,2.67,1.455,224,2.115,7.485,10.86,147.754,4.689,210,6.559,18.204,102,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
tarragon dried,100g,Carbohydrates,2,0.099,0.046,0.297,0.038,0,0,1,1,6.8,0,0.069,0.2,2.1,0.044,0.081,7.752,1.9,0.068,18.1,0.01,0.088,0.012,0,0.011,0.092,0,0.082,0.083,0,0.083,0.3,0,0,0,0.068,0.019
tartar sauce,100g,Fat,32,0.204,2.556,2.045,0.078,0.6,40,1,1,3.9,1.1,0.001,0.047,0.9,0.03,0.5,9.096,2.6,1.4,10.2,0.5,0.05,0.1,0.056,0.023,0.008,0,0.074,0.094,0.076,0.034,0.3,0,0.3,0.089,10.1,0.098
tea blueberry muffin tekanne,100g,Carbohydrates,4,0,0.235,0.471,0,0.007,0,1,1,0,0,0,0,0,0,0.6,0.6,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tea with milk and sugar yorkshire,100g,Fat,15,0,1.23,0.984,0,0,0,1,1,0,0,0,0,0,0,0.7,0.9,0,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teaseed oil,100g,Fat,120,0,13.333,0,0,0,0,1,1,0,0,0,0,0,0,7,13.6,0,3.1,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teff,100g,Carbohydrates,77,3.208,0,16.042,11,6.993,39,1,1,176,4.178,10.219,1.479,48,7.348,1.557,60.35,81.581,1.174,238,1.031,56.024,22,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
teff (ethiopia),100g,Carbohydrates,34,0,0,8.5,4,6.993,18,1,1,96,4.178,10.219,1.479,76,7.348,1.557,78.19,81.581,1.174,221,1.031,56.024,467,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
teff cooked,100g,Carbohydrates,255,9.854,1.609,50.276,7.1,0,35,1,1,123.5,0,0.6,5.2,126,7.2,0,197.2,302.4,0,269.6,0,0,0.053,0,0.5,0.016,0,0.056,2.3,0,0.2,0,0,0,0,0.189,2.8
teff raw,100g,Protein,708,84.426,15.111,0.463,15.4,3.6,35,1,1,347.4,0,1.6,14.7,355.1,17.8,1.1,548.9,828,2.1,824.1,0.9,0.038,0.053,0,0.8,0,0,0.5,6.5,1.8,0.9,0,0,0.2,0.03,0,7
tempeh,100g,Protein,195,39.001,4.333,0,3,0,8,1,1,25,0,0.9,4.5,37,2.2,5,253.1,441.6,6.4,206,3.7,0,313,0,0.1,0.086,0.096,0.6,4.4,0.5,0.4,0,0,0,0,0.099,1.9
"tempeh (fermented soybeans, indonesia)",100g,Protein,174,12.123,11.41,5.705,3,1.639,7,1,1,44,143.253,5.56,2.725,38,4.058,6.872,27.73,273.205,2.819,206,5.983,41.361,58,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
tempeh cooked,100g,Protein,55,4.706,2.953,2.399,0,0,40,1,1,27.2,0,0.2,0.6,21.8,0.4,1.1,38.7,71.6,0.7,113.5,1,0,0.084,0,0.021,0.022,0.07,0.1,0.6,0.1,0.079,0,0,0,0,16.9,0.4
tepary beans (north america),100g,Protein,196,31.294,4.941,6.588,3,1.639,17,1,1,22,143.253,5.56,2.725,23,4.058,6.872,26.99,273.205,2.819,381,5.983,41.361,370,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
tequila sunrise,100g,Carbohydrates,232,1.4,0.467,55.549,0,0,50,1,1,0,0,0.01,0.038,14.8,0.046,0,65.357,21.1,0,21.1,0,0,0.1,0,0.085,0.01,0,0.015,0.4,0.2,0.1,40.7,0,0,0,0.166,1.3
teriyaki sauce,100g,Carbohydrates,16,1.119,0.015,2.847,0.016,2.5,40,1,1,4.5,0,0.056,0.3,11,0,0,8.733,27.7,0,40.5,0,0.038,0.7,0,0.074,0.036,0,0.091,0.2,0.068,0.09,0,0,0,0,12.2,0.049
thyme,100g,Fat,381,20.185,32.801,1.262,3,3.963,24,1,1,350,39.069,2.67,1.455,54,2.115,7.485,13.21,147.754,4.689,569,6.559,18.204,199,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,45.752,1.417
thyme dried,100g,Carbohydrates,276,7.004,5.695,49.182,37,1.7,35,1,1,1.7,0,1890,0.9,123.6,220,0.5,120.6,7.9,1.2,201,2.7,814,0.016,0,0,0.5,0.3,0,0.4,4.9,0,0.6,50,0,7.5,7.8,0.068
thyme fresh,100g,Carbohydrates,1,0.051,0.038,0.113,0.1,0,0,1,1,0,0,3.2,0.018,0.1,1.3,0.056,0.545,0.045,0.085,0.8,0.07,4.9,0.017,0,0,0.074,0.08,0,0.039,0.019,0.048,0.057,1.3,0,0,0.5,0
tiger's eye beans,100g,Carbohydrates,142,6.108,1.527,25.956,15,6.993,48,1,1,17,4.178,10.219,1.479,77,7.348,1.557,43.29,81.581,1.174,358,1.031,56.024,322,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,66.409,0.727
tilapia,100g,Protein,291,64.073,2.67,2.67,3,0,1,1,1,13,63,0.094,0.7,35,4.058,0.626,20.19,192,0.456,254,0.736,52.6,726,0,0.041,0.081,1.69,0.071,4.172,1.874,0.163,0,0.474,0.5,1.8,30.587,0.42
tilapia cooked,100g,Protein,111,22.617,2.282,0,0,0,0,1,1,12.2,49.6,0.049,0.6,29.6,0.083,0.8,37.9,177.5,0.5,330.6,0.8,0.034,0.011,0,0.021,0.006,0.037,0.072,4.1,0.6,0.1,0,0.013,0.7,0.053,62.3,0.4
tilapia raw,100g,Protein,111,22.199,2.467,0,0,0,0,1,1,11.6,58,0.087,0.6,31.3,0.081,0.6,37.5,197.2,0.4,350.3,0.7,0.039,0.009,0,0.094,0.09,0.02,0.036,4.5,0.6,0.2,0,0.019,0.5,0.068,0.091,0.4
tilefish cooked,100g,Protein,441,77.01,14.773,0,0,0,0,1,1,78,192,0.2,0.9,99,0.064,4,166.521,708,3.7,1536,2.6,0.2,0.2,0.022,0.4,0.067,0.01,0.6,10.5,2.6,0.9,0,0,0,0,0.211,1.6
tilefish raw,100g,Protein,371,71.554,9.421,0,0,0,0,1,1,100.4,193,0.2,1,108.1,0.008,2.2,177.901,721.8,2.3,1671.4,1.7,0.1,0.2,0.057,0.5,0.042,0.057,0.6,11.2,2.9,1,0,0,0,0,0.305,1.4
tilsit cheese,100g,Fat,136,9.8,10.4,0.8,0,0,0,1,1,280,40.8,0.033,0.01,5.2,0.086,2.9,301.069,200,0.3,26,6.7,0.026,0.3,0.057,0.036,0.072,0.058,0.1,0.068,0.1,0.036,0,0,0,0,17.1,1.4
tindora (india),100g,Carbohydrates,178,5.804,7.739,21.283,3,6.993,42,1,1,161,4.178,10.219,1.479,56,7.348,1.557,14.13,81.581,1.174,405,1.031,56.024,393,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,65.174,0.727
toffee,100g,Carbohydrates,67,0.1,3.918,7.835,0,7.6,40,1,1,0.097,12.5,4.1,0.092,0.094,0.5,1.1,12.023,0.082,0.1,3.8,2.5,6.1,0.044,0.033,0.074,0.059,0.021,0.076,0.001,0.098,0.044,0.099,0.079,0,0.1,0.04,0.031
tofu,100g,Protein,144,28.8,3.2,0,1.1,1.69,15,1,1,683,0,0.092,0.8,37,4.058,2.468,34.33,66,2.982,150,0.95,4.5,10,125,0.049,0.081,0.01,0.052,0.6,1.874,0.108,13.5,0.474,0.88,32.6,0.083,0.44
tofu (extra firm),100g,Protein,244,20.745,14.818,6.915,2,1.639,0,1,1,10,143.253,5.56,2.725,27,4.058,6.872,22.03,273.205,2.819,376,5.983,41.361,558,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
tofu (firm),100g,Protein,136,27.2,3.022,0,2,1.69,14,1,1,27,0,0.092,0.8,27,4.058,2.468,62.5,66,2.982,315,0.95,4.5,406,125,0.049,0.081,0.01,0.052,0.6,1.874,0.108,13.5,0.474,0.88,32.6,0.083,0.44
tofu (silken),100g,Protein,103,20.6,2.289,0,3,1.69,2,1,1,40,0,0.092,0.8,39,4.058,2.468,54.11,66,2.982,237,0.95,4.5,235,125,0.049,0.081,0.01,0.052,0.6,1.874,0.108,13.5,0.474,0.88,32.6,0.083,0.44
tofu fried,100g,Fat,35,2.222,2.407,1.111,0.5,0.4,30,1,1,0.099,0,48.4,0.051,0.6,7.8,0.6,6.832,0.2,1.5,37.3,0.4,19,0.021,0,0,0.01,0.036,0,0.054,0.073,0.041,0.094,0,0,0.011,6.6,0.038
tofu raw,100g,Protein,188,18.261,10.865,4.291,0.7,0,30,1,1,868,0,0.5,13.3,74.4,1.5,2.6,918.8,240.6,6.7,300.1,1.7,0.005,0.06,0,0.2,0.096,0,0.1,0.5,0.2,0.1,0.2,0,0,0,0.21,2
tofu yogurt,100g,Carbohydrates,246,9.189,4.694,41.749,0.5,3.2,30,1,1,0.013,0,309.2,0.2,2.8,104.8,1,56.57,0,2.7,99.6,0.7,123.1,0.03,0,0,0.2,0.004,0,0.027,0.6,0,0.048,6.6,0,0.8,0.203,0.068
tomatillo (mexico),100g,Protein,31,2.897,0.869,2.897,5,6.993,42,1,1,80,4.178,10.219,1.479,55,7.348,1.557,140.25,81.581,1.174,232,1.031,56.024,492,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
tomatillos,100g,Carbohydrates,188,5.193,1.039,39.47,11,5.2,24,1,1,170,0,0.1,0.8,87,0.2,0.2,38.2,51.5,0.6,420,0.2,0.055,132,0,0.088,0.093,0,0.099,2.4,0.2,0.074,15.4,0,0.5,0.033,0.121,0.3
tomato,100g,Carbohydrates,18,0.757,0.168,3.364,1.2,3.54,15,1,1,6,0,0.082,0.34,11,7.348,0.006,199.25,16,0.023,237,0.02,1.3,5,18,0.08,0.079,0,0.067,0.533,0.507,0.059,58.1,3.945,0.26,1.8,91.57,0.09
tomato beef noodle soup,100g,Carbohydrates,281,8.862,8.563,42.12,3,0,55,1,1,35.1,7.5,0.3,2.2,15.1,0.5,3.5,100.1,113,1.4,441.8,3.2,0.037,1.8,0,0.2,0.05,0.077,0.2,3.7,0.4,0.2,0,0,1.6,0,0.186,1.5
tomato bisque soup,100g,Carbohydrates,248,4.397,4.886,46.61,2.1,0,50,1,1,80,10.3,0.3,1.7,18.1,0.5,1.4,152.913,121.3,2.2,838.5,1.1,0,1.8,0.017,0.1,0.097,0,0.1,2.3,0.3,0.2,11.9,0,0,0,0.194,1.2
tomato chili sauce,100g,Carbohydrates,6,0.186,0.088,1.115,0.4,0.6,40,1,1,1.2,0,0.017,0.087,0.7,0,0.097,4.085,3.1,0.064,22.2,0.076,0.052,0.083,0,0.021,0.033,0,0.028,0.043,0,0.086,1,0,0.1,0.025,4.1,0.082
tomato cooked,100g,Carbohydrates,22,1.043,0.087,4.261,0.9,3.1,40,1,1,0.054,0,13.5,0.052,0.8,11.1,0.069,7.36,0.1,0.041,34.4,0.086,268.1,0.029,0,0,0.054,0.052,0,0.074,0.7,0.2,0.096,28,0,0.7,0.116,0
tomato juice,100g,Carbohydrates,41,1.754,0.585,7.181,1,6.3,40,1,1,0.056,0,24.3,0.1,0.9,26.7,0.062,12.742,0.2,0.043,46.2,0.043,527.3,0.063,0,0.069,0.2,0.003,0,0.2,1.6,0.6,0.2,170.3,0,0.8,0.229,0.067
tomato ketchup mp,100g,Carbohydrates,15,0,0,3.75,0,0,0,1,1,0,0,0,0,0,0,4,0.2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomato paste canned,100g,Carbohydrates,215,9.565,1.016,41.9,10.7,31.9,65,0,1,94.3,0,1,7.8,110,0.8,0.2,232.2,217.5,0.4,2656.7,0.3,0.07,2.1,0,0.2,0.018,0,0.4,8.1,0.4,0.6,57.4,0,11.3,0.005,0.193,1.7
tomato puree canned,100g,Carbohydrates,95,3.512,0.428,19.274,4.8,12.1,50,1,1,0.038,0,45,0.7,4.5,57.5,0.028,32.936,0.4,0.2,100,0.098,1097.5,0.002,0,0,0.056,0.076,0,0.2,3.7,1.1,0.3,26.5,0,4.9,0.22,0.001
tomato rice soup,100g,Carbohydrates,240,4.153,5.439,43.609,3.4,15.2,50,1,1,46.4,2.6,0.3,1.6,10.3,0.8,1.2,134.933,67.1,2.7,663.1,1,0.098,1.6,0.042,0.1,0.049,0,0.1,2.1,0.3,0.2,29.7,0,4.5,0.081,0.199,1
